Date,AQI_Forecast,Location
2024-12-31,32.40686732695748,Alandur
2025-01-01,45.48453600085443,Alandur
2025-01-02,28.68767572411076,Alandur
2025-01-03,45.5127707011469,Alandur
2025-01-04,34.03145321888771,Alandur
2025-01-05,21.183803907349247,Alandur
2025-01-06,40.489526082254265,Alandur
2025-01-07,40.7727734025662,Alandur
2025-01-08,40.37913060489227,Alandur
2025-01-09,29.749512754262657,Alandur
2025-01-10,16.862130868731736,Alandur
2025-01-11,10.798477727521794,Alandur
2025-01-12,40.59808460508452,Alandur
2025-01-13,31.32468879459676,Alandur
2025-01-14,44.209075548022895,Alandur
2025-01-15,45.41655184603993,Alandur
2025-01-16,45.50982867899313,Alandur
2025-01-17,40.30401097390994,Alandur
2025-01-18,45.51856387510972,Alandur
2025-01-19,40.537543612130456,Alandur
2025-01-20,32.30084370383011,Alandur
2025-01-21,30.86265055942753,Alandur
2025-01-22,45.53583914180537,Alandur
2025-01-23,45.51271441393816,Alandur
2025-01-24,45.50293302887287,Alandur
2025-01-25,40.38858015768492,Alandur
2025-01-26,34.38719026295045,Alandur
2025-01-27,31.352959585486516,Alandur
2024-12-31,20.984935948028166,Crescent_chengalpattu
2025-01-01,21.425781856438903,Crescent_chengalpattu
2025-01-02,28.651322112329535,Crescent_chengalpattu
2025-01-03,21.99783188738453,Crescent_chengalpattu
2025-01-04,34.58177844725789,Crescent_chengalpattu
2025-01-05,17.66157099154954,Crescent_chengalpattu
2025-01-06,28.651322112329535,Crescent_chengalpattu
2025-01-07,35.05549228805036,Crescent_chengalpattu
2025-01-08,28.651322112329535,Crescent_chengalpattu
2025-01-09,29.390771637446587,Crescent_chengalpattu
2025-01-10,17.71742576014348,Crescent_chengalpattu
2025-01-11,22.822294455880044,Crescent_chengalpattu
2025-01-12,28.65132211232428,Crescent_chengalpattu
2025-01-13,17.82031278912118,Crescent_chengalpattu
2025-01-14,17.25923889676035,Crescent_chengalpattu
2025-01-15,28.651322112329535,Crescent_chengalpattu
2025-01-16,33.629575681272414,Crescent_chengalpattu
2025-01-17,28.651322112329535,Crescent_chengalpattu
2025-01-18,28.651322112329535,Crescent_chengalpattu
2025-01-19,21.72409254009685,Crescent_chengalpattu
2025-01-20,20.96993128905188,Crescent_chengalpattu
2025-01-21,28.651322112329535,Crescent_chengalpattu
2025-01-22,33.676679541544146,Crescent_chengalpattu
2025-01-23,34.77172527488267,Crescent_chengalpattu
2025-01-24,28.651322112329535,Crescent_chengalpattu
2025-01-25,28.651322112329535,Crescent_chengalpattu
2025-01-26,39.045095498229685,Crescent_chengalpattu
2025-01-27,28.02679719384708,Crescent_chengalpattu
2024-12-31,27.66598296404089,Kodungaiyur
2025-01-01,25.654435160893254,Kodungaiyur
2025-01-02,28.45962241696131,Kodungaiyur
2025-01-03,26.691683950929885,Kodungaiyur
2025-01-04,28.45962241696131,Kodungaiyur
2025-01-05,22.56828746652561,Kodungaiyur
2025-01-06,25.55969205721863,Kodungaiyur
2025-01-07,15.92716733211461,Kodungaiyur
2025-01-08,25.161159998379777,Kodungaiyur
2025-01-09,20.456090073122603,Kodungaiyur
2025-01-10,21.134182280355148,Kodungaiyur
2025-01-11,25.39611566024571,Kodungaiyur
2025-01-12,27.29264788029196,Kodungaiyur
2025-01-13,27.0731147673502,Kodungaiyur
2025-01-14,24.690668331044822,Kodungaiyur
2025-01-15,29.08919534678884,Kodungaiyur
2025-01-16,18.652042545009422,Kodungaiyur
2025-01-17,29.72317692133886,Kodungaiyur
2025-01-18,28.70373474941561,Kodungaiyur
2025-01-19,23.930197798431003,Kodungaiyur
2025-01-20,26.11486085685067,Kodungaiyur
2025-01-21,23.174273228822383,Kodungaiyur
2025-01-22,27.20870578076291,Kodungaiyur
2025-01-23,26.94682885069371,Kodungaiyur
2025-01-24,27.582007626913743,Kodungaiyur
2025-01-25,23.14680812387929,Kodungaiyur
2025-01-26,24.086318606530924,Kodungaiyur
2025-01-27,18.467509496884063,Kodungaiyur
2024-12-31,21.400307953093066,Manali
2025-01-01,45.33908814709379,Manali
2025-01-02,28.499291108906142,Manali
2025-01-03,45.22736998047456,Manali
2025-01-04,45.36211913290902,Manali
2025-01-05,37.252746949758674,Manali
2025-01-06,43.62237230987986,Manali
2025-01-07,45.34557092400189,Manali
2025-01-08,45.344422263211584,Manali
2025-01-09,33.7580780745275,Manali
2025-01-10,34.83256153680021,Manali
2025-01-11,39.15654325005325,Manali
2025-01-12,45.30727573281503,Manali
2025-01-13,31.52000513908235,Manali
2025-01-14,28.169421134388383,Manali
2025-01-15,37.14800375759055,Manali
2025-01-16,45.34363017834885,Manali
2025-01-17,40.90497595821557,Manali
2025-01-18,36.95677176786589,Manali
2025-01-19,45.39244965697631,Manali
2025-01-20,40.339985031361365,Manali
2025-01-21,17.01032450362073,Manali
2025-01-22,45.32475852647312,Manali
2025-01-23,45.14638747082081,Manali
2025-01-24,44.98791649351636,Manali
2025-01-25,45.25264046482851,Manali
2025-01-26,24.663356289080877,Manali
2025-01-27,37.0952497098511,Manali
2024-12-31,14.588307143093305,Ooty
2025-01-01,16.660981096033332,Ooty
2025-01-02,16.03260033049912,Ooty
2025-01-03,17.143153612640674,Ooty
2025-01-04,12.274338803395793,Ooty
2025-01-05,20.5326651311092,Ooty
2025-01-06,16.464462217510132,Ooty
2025-01-07,12.307582051654329,Ooty
2025-01-08,19.20324578130175,Ooty
2025-01-09,9.983015566442766,Ooty
2025-01-10,20.789294563116066,Ooty
2025-01-11,16.600622044933758,Ooty
2025-01-12,19.128967716676343,Ooty
2025-01-13,20.513953544980147,Ooty
2025-01-14,20.649779531985427,Ooty
2025-01-15,14.871265863846002,Ooty
2025-01-16,12.31998234000089,Ooty
2025-01-17,19.550159940450605,Ooty
2025-01-18,10.989829279812666,Ooty
2025-01-19,19.2288350970786,Ooty
2025-01-20,14.636837798403295,Ooty
2025-01-21,9.767340832135693,Ooty
2025-01-22,13.8576150737403,Ooty
2025-01-23,14.228295912331706,Ooty
2025-01-24,10.744645525525543,Ooty
2025-01-25,19.19079017943805,Ooty
2025-01-26,14.912390898206333,Ooty
2025-01-27,12.06290334653056,Ooty
2024-12-31,21.9642456308128,Perungudi
2025-01-01,17.68075769397837,Perungudi
2025-01-02,28.77684897324629,Perungudi
2025-01-03,17.341697033304165,Perungudi
2025-01-04,21.984860987859665,Perungudi
2025-01-05,29.24352869829229,Perungudi
2025-01-06,25.180656396153022,Perungudi
2025-01-07,21.62293275124261,Perungudi
2025-01-08,33.69770379516037,Perungudi
2025-01-09,21.9237065927329,Perungudi
2025-01-10,25.356985344758748,Perungudi
2025-01-11,28.923524283964312,Perungudi
2025-01-12,24.77873043524416,Perungudi
2025-01-13,31.179078193517448,Perungudi
2025-01-14,26.867454102166093,Perungudi
2025-01-15,21.593126816409367,Perungudi
2025-01-16,31.37306105969222,Perungudi
2025-01-17,26.90364013973163,Perungudi
2025-01-18,34.467096179723974,Perungudi
2025-01-19,24.742851123092265,Perungudi
2025-01-20,17.821277121866252,Perungudi
2025-01-21,24.35269611747648,Perungudi
2025-01-22,23.03415913755957,Perungudi
2025-01-23,21.15364571612488,Perungudi
2025-01-24,34.63375366908487,Perungudi
2025-01-25,28.32925933085337,Perungudi
2025-01-26,20.431107339343026,Perungudi
2025-01-27,20.425269368255,Perungudi
2024-12-31,7.153350991380195,Ramanathapuram
2025-01-01,16.88771932173537,Ramanathapuram
2025-01-02,5.43013963475274,Ramanathapuram
2025-01-03,17.386151968571294,Ramanathapuram
2025-01-04,40.41718083596107,Ramanathapuram
2025-01-05,5.710495713430991,Ramanathapuram
2025-01-06,16.700922132145045,Ramanathapuram
2025-01-07,45.74770976425228,Ramanathapuram
2025-01-08,19.409776938777803,Ramanathapuram
2025-01-09,14.427542591663332,Ramanathapuram
2025-01-10,4.73109557848808,Ramanathapuram
2025-01-11,17.001825563855537,Ramanathapuram
2025-01-12,19.4486645950227,Ramanathapuram
2025-01-13,5.83517214153494,Ramanathapuram
2025-01-14,4.573626965614118,Ramanathapuram
2025-01-15,11.215614121801304,Ramanathapuram
2025-01-16,45.84508385858388,Ramanathapuram
2025-01-17,19.56103904417202,Ramanathapuram
2025-01-18,21.129211777860636,Ramanathapuram
2025-01-19,19.5126953090878,Ramanathapuram
2025-01-20,5.258857158896719,Ramanathapuram
2025-01-21,9.22378318086222,Ramanathapuram
2025-01-22,45.56953269521358,Ramanathapuram
2025-01-23,18.80862752423046,Ramanathapuram
2025-01-24,24.01415874154403,Ramanathapuram
2025-01-25,19.480392135432837,Ramanathapuram
2025-01-26,15.351935943554928,Ramanathapuram
2025-01-27,9.358746827645607,Ramanathapuram
2024-12-31,22.95119703066955,Royapuram
2025-01-01,19.971230955697685,Royapuram
2025-01-02,28.308161869502182,Royapuram
2025-01-03,20.398593310443715,Royapuram
2025-01-04,30.35112565355256,Royapuram
2025-01-05,20.50779754301687,Royapuram
2025-01-06,24.84064946803847,Royapuram
2025-01-07,29.50364242594098,Royapuram
2025-01-08,26.401266756761657,Royapuram
2025-01-09,25.12480957249418,Royapuram
2025-01-10,14.716510969513788,Royapuram
2025-01-11,20.659336380779266,Royapuram
2025-01-12,27.752566925845503,Royapuram
2025-01-13,24.70242425317729,Royapuram
2025-01-14,18.33461711448549,Royapuram
2025-01-15,26.16186437159707,Royapuram
2025-01-16,27.68352255935773,Royapuram
2025-01-17,26.33373937050613,Royapuram
2025-01-18,24.56438138683688,Royapuram
2025-01-19,27.467406126226884,Royapuram
2025-01-20,19.845326239673447,Royapuram
2025-01-21,28.11580106482464,Royapuram
2025-01-22,31.97032265073389,Royapuram
2025-01-23,24.496533147363355,Royapuram
2025-01-24,24.892896303527667,Royapuram
2025-01-25,22.068935973094987,Royapuram
2025-01-26,19.455947971883983,Royapuram
2025-01-27,25.77866722444803,Royapuram
2024-12-31,23.975660116730893,salem
2025-01-01,41.17082333162174,salem
2025-01-02,24.483006648037986,salem
2025-01-03,28.771313826893756,salem
2025-01-04,20.38567027542515,salem
2025-01-05,28.771313826893756,salem
2025-01-06,27.81931790353708,salem
2025-01-07,28.771313826893756,salem
2025-01-08,29.779501741838477,salem
2025-01-09,26.14618098297728,salem
2025-01-10,28.771313826893756,salem
2025-01-11,28.771313826893756,salem
2025-01-12,28.94670310773258,salem
2025-01-13,28.77131382674728,salem
2025-01-14,28.771313826893756,salem
2025-01-15,23.49166728588291,salem
2025-01-16,19.551896276382468,salem
2025-01-17,27.380699935718507,salem
2025-01-18,28.771313826893756,salem
2025-01-19,44.29515243801136,salem
2025-01-20,23.837695372135308,salem
2025-01-21,22.300157999506503,salem
2025-01-22,19.33513153204945,salem
2025-01-23,18.42365608677664,salem
2025-01-24,26.55938852669459,salem
2025-01-25,28.771313826893756,salem
2025-01-26,21.73625131772181,salem
2025-01-27,25.48311875411085,salem
2024-12-31,35.77690100219512,Tirupur
2025-01-01,24.51855077881024,Tirupur
2025-01-02,33.20456896970582,Tirupur
2025-01-03,36.1633847210495,Tirupur
2025-01-04,25.153559862126016,Tirupur
2025-01-05,39.83465356468211,Tirupur
2025-01-06,33.354568509207766,Tirupur
2025-01-07,23.835106145629155,Tirupur
2025-01-08,21.0175051746102,Tirupur
2025-01-09,17.06914067426039,Tirupur
2025-01-10,41.64501507844766,Tirupur
2025-01-11,27.580320986056392,Tirupur
2025-01-12,19.54724335979981,Tirupur
2025-01-13,44.14865697047844,Tirupur
2025-01-14,42.25983655396229,Tirupur
2025-01-15,36.42574198443855,Tirupur
2025-01-16,22.40592076092104,Tirupur
2025-01-17,29.123670847015426,Tirupur
2025-01-18,21.693765091998905,Tirupur
2025-01-19,29.989650589194973,Tirupur
2025-01-20,30.06906089217876,Tirupur
2025-01-21,23.190767500675527,Tirupur
2025-01-22,29.14505384148285,Tirupur
2025-01-23,29.123670847015426,Tirupur
2025-01-24,30.223047431370688,Tirupur
2025-01-25,19.06575300383604,Tirupur
2025-01-26,29.12367084699349,Tirupur
2025-01-27,23.932763335241987,Tirupur
2024-12-31,32.86562615754226,Velachery
2025-01-01,45.62532062308336,Velachery
2025-01-02,39.69005019368986,Velachery
2025-01-03,45.59925445848395,Velachery
2025-01-04,37.11425631311192,Velachery
2025-01-05,40.434239083548576,Velachery
2025-01-06,38.86538607268825,Velachery
2025-01-07,32.482454179260415,Velachery
2025-01-08,45.62989896561386,Velachery
2025-01-09,29.111926715827323,Velachery
2025-01-10,37.7083515193242,Velachery
2025-01-11,39.06574457928191,Velachery
2025-01-12,45.563079580359584,Velachery
2025-01-13,23.631539448682886,Velachery
2025-01-14,39.562508188040745,Velachery
2025-01-15,17.018904124955498,Velachery
2025-01-16,32.51275165579902,Velachery
2025-01-17,37.2049676795729,Velachery
2025-01-18,20.68551092905273,Velachery
2025-01-19,37.42830059539058,Velachery
2025-01-20,31.03811613651432,Velachery
2025-01-21,28.576749391383032,Velachery
2025-01-22,45.63017823555495,Velachery
2025-01-23,26.94868271171266,Velachery
2025-01-24,28.64396183687037,Velachery
2025-01-25,45.54259554896327,Velachery
2025-01-26,26.36368694216535,Velachery
2025-01-27,27.84683051009559,Velachery
2024-12-31,16.435999458371256,Vellore
2025-01-01,18.95918399674688,Vellore
2025-01-02,28.73936476841787,Vellore
2025-01-03,16.189677131960792,Vellore
2025-01-04,17.252308101926044,Vellore
2025-01-05,28.73936476841787,Vellore
2025-01-06,16.56712177576994,Vellore
2025-01-07,28.73936476841787,Vellore
2025-01-08,5.03087198654962,Vellore
2025-01-09,22.187110168800487,Vellore
2025-01-10,4.922369080780952,Vellore
2025-01-11,28.73936476841787,Vellore
2025-01-12,6.600961313421912,Vellore
2025-01-13,43.21633639123787,Vellore
2025-01-14,6.293985357095715,Vellore
2025-01-15,20.60374053676008,Vellore
2025-01-16,15.650800164450253,Vellore
2025-01-17,4.276919772705014,Vellore
2025-01-18,13.120181460942272,Vellore
2025-01-19,14.474252427512836,Vellore
2025-01-20,16.050155980618094,Vellore
2025-01-21,28.73936476841787,Vellore
2025-01-22,28.108271238662983,Vellore
2025-01-23,19.23820418616081,Vellore
2025-01-24,21.197684821399296,Vellore
2025-01-25,28.73936476841787,Vellore
2025-01-26,15.361880271380867,Vellore
2025-01-27,14.340628622892012,Vellore
